id,dest_year,origin_fips,dest_fips,returns,exempt,agi
751,1996,35,5,1,3,31
752,1996,35,7,1,3,31
753,1996,35,9,1,3,31
754,1996,35,11,1,3,31
755,1996,35,13,1,3,31
756,1996,35,15,1,3,31
757,1996,35,17,1,3,31
758,1996,35,19,1,3,31
759,1996,35,21,1,3,31
760,1996,35,23,1,3,31
761,1996,35,25,1,3,31
762,1996,35,27,1,3,31
763,1996,35,29,1,3,31
764,1996,35,31,1,3,31
765,1996,35,33,1,3,31
766,1996,35,35,2853,6748,86329
767,1996,35,37,1,3,31
768,1996,35,39,1,3,31
769,1996,35,41,1,3,31
770,1996,35,43,1,3,31
771,1996,35,45,1,3,31
772,1996,35,47,1,3,31
773,1996,35,49,1,3,31
774,1996,35,51,1,3,31
775,1996,35,53,1,3,31
776,1996,35,55,1,3,31
777,1996,35,57,17,28,378
778,1996,35,59,1,3,31
779,1996,35,61,1,3,31
780,1996,35,63,1,3,31
781,1996,35,65,1,3,31
782,1996,35,67,1,3,31
783,1996,35,69,52,98,1112
784,1996,35,71,1,3,31
785,1996,35,73,1,3,31
786,1996,35,75,1,3,31
787,1996,35,77,1,3,31
788,1996,35,79,1,3,31
789,1996,35,81,1,3,31
790,1996,35,83,1,3,31
791,1996,35,85,1,3,31
792,1996,35,87,1,3,31
793,1996,37,1,2,5,45
794,1996,37,3,2,5,45
795,1996,37,5,2,5,45
796,1996,37,7,2,5,45
797,1996,37,9,2,5,45
798,1996,37,11,2,5,45
799,1996,37,13,2,5,45
800,1996,37,15,2,5,45
801,1996,37,17,2,5,45
802,1996,37,19,2,5,45
803,1996,37,21,2,5,45
804,1996,37,23,2,5,45
805,1996,37,25,2,5,45
806,1996,37,27,2,5,45
807,1996,37,29,2,5,45
808,1996,37,31,2,5,45
809,1996,37,33,2,5,45
810,1996,37,35,2,5,45
811,1996,37,37,1300,3185,40146
812,1996,37,39,2,5,45
813,1996,37,41,2,5,45
814,1996,37,43,2,5,45
815,1996,37,45,2,5,45
816,1996,37,47,2,5,45
817,1996,37,49,2,5,45
818,1996,37,51,2,5,45
819,1996,37,53,2,5,45
820,1996,37,55,2,5,45
821,1996,37,57,2,5,45
822,1996,37,59,2,5,45
823,1996,37,61,2,5,45
824,1996,37,63,2,5,45
825,1996,37,65,2,5,45
826,1996,37,67,2,5,45
827,1996,37,69,2,5,45
828,1996,37,71,2,5,45
829,1996,37,73,2,5,45
830,1996,37,75,2,5,45
831,1996,37,77,2,5,45
832,1996,37,79,2,5,45
833,1996,37,81,2,5,45
834,1996,37,83,2,5,45
835,1996,37,85,2,5,45
836,1996,37,87,2,5,45
837,1996,39,1,227,456,5861
838,1996,39,3,2,5,39
