id,year,countyfips,type,out_returns,out_exempt,out_agi,in_returns,in_exempt,in_agi
317,1999,19,same_state,934,2118,25454,917,2142,23871
318,1999,19,diff_state,1097,2462,39729,953,2303,33704
319,1999,19,foreign,16,20,297,11,19,351
320,1999,21,same_state,76,146,1835,63,131,1580
321,1999,21,diff_state,144,301,3593,177,380,5107
322,1999,23,same_state,58,117,1240,40,82,640
323,1999,23,diff_state,26,58,743,22,46,625
324,1999,25,same_state,24,58,676,25,65,961
325,1999,25,diff_state,12,22,282,13,39,483
326,1999,27,same_state,1490,3051,41445,2205,4956,66922
327,1999,27,diff_state,1257,2845,30288,1578,3610,44850
328,1999,27,foreign,15,24,271,17,38,258
329,1999,29,same_state,96,245,2489,54,115,1552
330,1999,29,diff_state,94,198,2268,81,178,2461
331,1999,31,same_state,450,1017,9727,367,930,8260
332,1999,31,diff_state,247,576,5656,228,566,5870
333,1999,33,same_state,30,70,596,20,67,340
334,1999,33,diff_state,12,30,259,12,41,447
335,1999,35,same_state,130,264,3093,86,174,1984
336,1999,35,diff_state,112,204,2654,128,270,3625
337,1999,37,same_state,76,134,1418,66,135,1320
338,1999,37,diff_state,67,147,1893,63,135,2073
339,1999,39,same_state,373,758,9354,253,585,6091
340,1999,39,diff_state,796,2013,22559,868,1853,20695
341,1999,39,foreign,180,419,"4,011",195,491,"4,522"
342,1999,41,same_state,35,86,691,52,149,1553
343,1999,41,diff_state,180,424,3769,169,429,5323
344,1999,43,same_state,204,518,5085,168,391,3962
345,1999,43,diff_state,192,421,3757,153,333,3886
346,1999,45,same_state,249,525,6398,259,577,7698
347,1999,45,diff_state,101,251,2757,159,370,5288
348,1999,47,same_state,278,631,6820,218,528,5140
349,1999,47,diff_state,123,257,2740,123,278,2783
350,1999,49,same_state,197,395,4098,151,322,3042
351,1999,49,diff_state,161,345,4189,220,463,7777
352,1999,51,same_state,335,815,7910,349,933,10127
353,1999,51,diff_state,197,450,5487,167,410,4963
354,1999,53,same_state,468,1073,10095,444,986,10489
355,1999,53,diff_state,197,437,4069,177,420,4173
356,1999,55,same_state,537,1060,12815,739,1523,19732
357,1999,55,diff_state,1999,3782,59534,2656,5605,106489
358,1999,55,foreign,20,28,547,31,55,319
359,1999,57,same_state,500,913,11848,499,877,10164
360,1999,57,diff_state,1013,1848,27957,786,1444,20903
361,1999,57,foreign,25,42,466,90,117,460
362,1999,59,same_state,107,198,1952,63,145,1691
363,1999,59,diff_state,140,286,3646,98,219,4516
364,1999,61,same_state,101,199,2397,64,157,1726
365,1999,61,diff_state,52,109,1301,60,108,1737
366,1999,63,same_state,104,240,4720,117,307,3470
367,1999,63,diff_state,52,118,963,44,93,542
368,1999,65,same_state,369,927,8128,224,575,5227
369,1999,65,diff_state,399,830,7631,251,603,5977
370,1999,65,foreign,0,0,0,36,36,70
371,1999,67,same_state,332,803,7302,286,688,6134
372,1999,67,diff_state,168,359,3309,120,319,2989
373,1999,69,same_state,362,691,9084,410,787,10157
374,1999,69,diff_state,775,1489,21464,649,1293,18351
375,1999,69,foreign,11,16,188,22,29,190
376,1999,71,same_state,26,59,691,27,62,713
377,1999,71,diff_state,59,124,1261,64,158,2014
378,1999,73,same_state,255,604,6023,207,530,5072
379,1999,73,diff_state,118,280,2723,119,296,2428
380,1999,75,same_state,277,586,6597,246,550,6408
381,1999,75,diff_state,343,767,7496,420,1006,11423
382,1999,77,same_state,134,326,3417,77,197,1783
383,1999,77,diff_state,74,188,1663,57,165,1434
384,1999,79,same_state,185,395,4626,115,241,2614
385,1999,79,diff_state,199,419,5403,205,426,5215
386,1999,81,same_state,50,95,2005,53,125,2236
387,1999,81,diff_state,130,269,4816,183,332,6592
388,1999,83,same_state,879,1833,21413,813,1692,18746
389,1999,83,diff_state,820,1702,20475,768,1730,26523
390,1999,83,foreign,13,23,181,14,27,124
