county,year,female_1544,popestimate,total_births,br_crude,br
Clark County,2023,139,801,8,9.9875154,57.553955
Clearwater County,2023,1098,9214,72,7.8141956,65.573769
Custer County,2023,612,4523,26,5.7483969,42.483662
Elmore County,2023,5812,29724,392,13.187996,67.446663
Franklin County,2023,2896,15494,206,13.295469,71.132599
Fremont County,2023,2519,14196,191,13.454494,75.823738
Gem County,2023,3392,21071,194,9.2069674,57.193398
Gooding County,2023,2884,16061,199,12.390262,69.001389
Idaho County,2023,2368,17890,162,9.0553379,68.412163
Jefferson County,2023,6790,34198,416,12.164454,61.266567
Jerome County,2023,4935,25479,363,14.247027,73.556229
Kootenai County,2023,33241,185010,1995,10.783201,60.016247
Latah County,2023,9835,41301,459,11.113532,46.670055
Lemhi County,2023,1211,8441,66,7.8189788,54.500412
Lewis County,2023,562,3739,27,7.2211823,48.042706
Lincoln County,2023,1059,5450,72,13.211009,67.98867
Madison County,2023,21538,54547,1028,18.846132,47.729595
Minidoka County,2023,4249,22480,291,12.944839,68.486702
Nez Perce County,2023,7766,42987,436,10.142601,56.142159
Oneida County,2023,862,4953,88,17.76701,102.08817
Owyhee County,2023,2282,12722,146,11.476183,63.978966
Payette County,2023,4776,27279,322,11.803952,67.420433
Power County,2023,1455,8253,94,11.389797,64.604813
Shoshone County,2023,2263,14026,144,10.266647,63.632347
Teton County,2023,2339,12549,144,11.475018,61.56477
Twin Falls County,2023,19269,95156,1154,12.127454,59.888939
Valley County,2023,1821,12644,82,6.4852896,45.030205
Washington County,2023,1840,11425,88,7.7024069,47.826088
